PRISM Time Series Data
Location:  Lat: 41.8283   Lon: -72.2371   Elev: 158m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2015-01-01 - 2025-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Feb-12
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
2015-05-18,0.00,20.2
2015-05-19,7.38,16.1
2015-05-20,7.80,15.7
2015-05-21,0.00,10.0
2015-05-22,0.00,13.4
2015-05-23,0.00,12.6
2015-05-24,0.00,9.7
2015-05-25,0.00,17.7
2015-05-26,0.00,19.9
2015-05-27,0.00,22.4
2015-05-28,0.00,20.5
2015-05-29,0.00,19.9
2015-05-30,0.00,20.3
2015-05-31,1.82,20.9
2015-06-01,34.31,16.0
2015-06-02,32.32,8.8
2015-06-03,0.89,8.4
2015-06-04,0.00,14.0
2015-06-05,0.00,13.8
2015-06-06,0.00,17.2
2015-06-07,0.00,14.8
2015-06-08,0.00,15.5
2015-06-09,0.00,18.1
2015-06-10,1.02,18.7
2015-06-11,0.00,21.3
2015-06-12,0.00,22.8
2015-06-13,0.17,23.9
2015-06-14,0.00,20.9
2015-06-15,24.53,20.5
2015-06-16,21.87,14.5
2015-06-17,0.38,18.6
2015-06-18,0.00,16.3
2015-06-19,0.27,18.1
2015-06-20,0.00,20.0
2015-06-21,42.96,18.3
2015-06-22,5.95,23.1
2015-06-23,0.00,22.0
2015-06-24,7.32,21.8
2015-06-25,0.00,20.0
2015-06-26,3.43,20.5
2015-06-27,0.00,18.1
2015-06-28,22.15,16.5
2015-06-29,1.22,13.3
2015-06-30,0.00,17.4
2015-07-01,10.25,21.1
2015-07-02,8.96,19.8
2015-07-03,0.00,18.3
2015-07-04,0.00,19.2
2015-07-05,0.00,17.6
2015-07-06,0.00,21.1
2015-07-07,0.00,22.1
2015-07-08,0.00,22.2
2015-07-09,4.61,23.1
2015-07-10,6.66,20.6
2015-07-11,0.00,21.3
2015-07-12,0.00,22.6
2015-07-13,0.00,23.1
2015-07-14,0.00,22.2
2015-07-15,0.46,23.6
2015-07-16,0.51,20.2
2015-07-17,0.00,17.1
2015-07-18,0.00,20.1
2015-07-19,3.50,21.4
2015-07-20,0.00,24.0
2015-07-21,0.00,24.3
2015-07-22,6.28,21.5
2015-07-23,0.00,19.0
2015-07-24,0.00,19.6
2015-07-25,1.44,19.5
2015-07-26,0.00,20.8
2015-07-27,0.45,21.5
2015-07-28,0.00,23.1
2015-07-29,0.00,24.9
2015-07-30,0.00,25.6
2015-07-31,3.22,23.6
2015-08-01,0.00,21.5
2015-08-02,0.00,21.1
2015-08-03,0.00,21.8
2015-08-04,0.45,23.8
2015-08-05,1.30,21.8
2015-08-06,0.00,20.8
2015-08-07,0.00,18.3
2015-08-08,0.00,19.7
2015-08-09,0.00,19.7
2015-08-10,1.65,19.2
2015-08-11,0.92,21.7
2015-08-12,30.13,19.3
2015-08-13,0.00,20.7
2015-08-14,0.00,20.2
2015-08-15,0.00,21.6
2015-08-16,7.13,24.3
2015-08-17,0.00,24.4
2015-08-18,0.00,24.9
2015-08-19,0.01,25.1
2015-08-20,0.00,24.6
2015-08-21,1.56,24.2
2015-08-22,18.87,21.6
2015-08-23,0.00,22.2
2015-08-24,0.00,22.1
2015-08-25,0.31,23.5
2015-08-26,0.00,22.0
2015-08-27,0.00,19.3
2015-08-28,0.00,18.2
2015-08-29,0.00,18.3
2015-08-30,0.00,20.8
2015-08-31,5.08,23.2
2015-09-01,0.00,23.2
2015-09-02,0.00,21.9
2015-09-03,0.00,23.5
2015-09-04,0.00,25.0
2015-09-05,0.00,18.3
2015-09-06,0.00,19.6
2015-09-07,0.00,20.9
2015-09-08,0.00,24.0
2015-09-09,0.00,26.4
2015-09-10,0.00,25.0
2015-09-11,45.71,19.3
2015-09-12,0.00,18.8
2015-09-13,2.79,19.8
2015-09-14,8.07,17.7
2015-09-15,0.00,15.0
2015-09-16,0.00,19.6
2015-09-17,0.00,20.5
2015-09-18,0.00,20.9
2015-09-19,0.00,21.5
2015-09-20,0.00,21.9
2015-09-21,0.00,15.8
2015-09-22,0.00,15.7
2015-09-23,0.00,14.9
2015-09-24,0.00,16.8
2015-09-25,0.00,16.7
2015-09-26,0.00,14.4
2015-09-27,0.00,11.4
2015-09-28,0.00,13.6
2015-09-29,0.00,17.9
2015-09-30,39.39,21.7
2015-10-01,36.11,16.7
2015-10-02,2.10,12.1
2015-10-03,8.05,8.2
2015-10-04,0.52,9.3
2015-10-05,0.00,10.3
2015-10-06,0.00,10.9
2015-10-07,0.00,12.9
2015-10-08,0.00,13.8
2015-10-09,0.00,13.0
2015-10-10,4.84,12.6
2015-10-11,0.00,10.3
2015-10-12,0.00,11.9
2015-10-13,0.00,14.5
2015-10-14,1.02,15.1
2015-10-15,0.00,9.6
2015-10-16,0.00,9.8
2015-10-17,0.36,8.8
2015-10-18,0.00,3.5
2015-10-19,0.00,0.6
2015-10-20,0.00,2.4
2015-10-21,0.00,13.1
2015-10-22,0.00,16.2
2015-10-23,0.00,14.5
2015-10-24,0.00,4.2
2015-10-25,0.57,4.7
2015-10-26,0.95,8.6
2015-10-27,0.00,6.2
2015-10-28,0.00,7.0
2015-10-29,45.20,13.0
2015-10-30,0.01,14.4
2015-10-31,0.00,6.2
2015-11-01,0.00,5.8
2015-11-02,0.00,11.1
2015-11-03,0.00,9.9
2015-11-04,0.00,13.6
2015-11-05,0.00,13.4
2015-11-06,0.00,15.8
2015-11-07,0.00,16.3
2015-11-08,0.00,9.1
2015-11-09,0.00,5.4
2015-11-10,0.00,7.6
2015-11-11,8.07,9.0
2015-11-12,1.07,7.8
2015-11-13,2.53,10.3
2015-11-14,0.09,9.2
2015-11-15,0.00,2.8
2015-11-16,0.00,6.9
2015-11-17,0.00,7.0
2015-11-18,0.00,2.2
2015-11-19,0.00,3.9
2015-11-20,32.96,12.0
2015-11-21,0.00,7.0
2015-11-22,0.00,5.4
2015-11-23,0.00,4.9
2015-11-24,0.00,-0.8
2015-11-25,0.00,-1.6
2015-11-26,0.00,1.9
2015-11-27,0.00,8.0
2015-11-28,0.00,13.5
2015-11-29,4.49,5.2
2015-11-30,0.00,1.5
2015-12-01,0.00,0.1
2015-12-02,5.63,2.5
2015-12-03,3.39,8.3
2015-12-04,0.00,4.1
2015-12-05,0.00,4.4
2015-12-06,0.00,4.5
2015-12-07,0.00,5.5
2015-12-08,0.00,6.1
2015-12-09,0.00,5.4
2015-12-10,0.62,4.7
2015-12-11,0.00,7.9
2015-12-12,0.00,9.0
2015-12-13,0.00,11.7
2015-12-14,0.00,10.4
2015-12-15,15.05,11.4
2015-12-16,0.61,6.8
2015-12-17,0.30,5.1
2015-12-18,15.24,8.3
2015-12-19,0.00,6.6
2015-12-20,0.00,2.2
2015-12-21,0.00,0.7
2015-12-22,0.00,5.5
2015-12-23,6.73,10.2
2015-12-24,26.86,10.6
2015-12-25,0.00,14.3
2015-12-26,0.00,11.6
2015-12-27,3.02,7.8
2015-12-28,1.00,6.2
2015-12-29,12.71,-0.9
2015-12-30,2.47,-0.3
2015-12-31,3.66,0.2
2016-01-01,0.00,3.8
2016-01-02,0.00,0.4
2016-01-03,0.00,0.1
2016-01-04,0.00,0.3
2016-01-05,0.00,-9.1
2016-01-06,0.00,-8.7
2016-01-07,0.00,-2.1
2016-01-08,0.00,0.6
2016-01-09,0.00,0.3
2016-01-10,2.90,3.4
2016-01-11,28.45,6.5
2016-01-12,0.00,-4.6
2016-01-13,2.98,-3.2
2016-01-14,0.00,-6.9
2016-01-15,0.00,-4.7
2016-01-16,6.86,-1.5
2016-01-17,9.51,1.2
2016-01-18,0.00,-2.9
2016-01-19,0.00,-6.8
2016-01-20,0.00,-7.1
2016-01-21,0.00,-3.8
2016-01-22,0.00,-4.9
2016-01-23,0.00,-5.1
2016-01-24,10.54,-5.4
2016-01-25,0.00,-3.5
2016-01-26,0.00,-1.2
2016-01-27,0.00,4.4
2016-01-28,0.00,-1.1
2016-01-29,0.00,-1.8
2016-01-30,0.00,-0.2
2016-01-31,0.00,1.1
2016-02-01,0.00,5.2
2016-02-02,0.00,5.2
2016-02-03,0.00,3.8
2016-02-04,23.30,7.5
2016-02-05,6.99,5.8
2016-02-06,12.04,-4.6
2016-02-07,0.00,-2.3
2016-02-08,0.00,0.5
2016-02-09,6.94,-6.4
2016-02-10,0.78,-5.2
2016-02-11,0.89,-2.9
2016-02-12,0.00,-10.1
2016-02-13,0.00,-10.5
2016-02-14,0.00,-16.0
2016-02-15,0.00,-18.7
2016-02-16,5.72,-6.7
2016-02-17,14.05,5.8
2016-02-18,0.00,-1.1
2016-02-19,0.00,-5.0
2016-02-20,0.00,-1.5
2016-02-21,0.00,9.0
2016-02-22,0.00,4.5
2016-02-23,0.00,1.7
2016-02-24,7.56,0.3
2016-02-25,52.57,9.9
2016-02-26,0.64,6.2
2016-02-27,0.00,-4.0
2016-02-28,0.00,-2.0
2016-02-29,0.00,6.7
2016-03-01,0.15,5.4
2016-03-02,11.38,3.7
2016-03-03,0.82,1.0
2016-03-04,0.00,-3.5
2016-03-05,0.00,-2.9
2016-03-06,0.00,-0.9
2016-03-07,0.00,0.9
2016-03-08,0.00,3.0
2016-03-09,0.00,9.4
2016-03-10,0.00,15.6
2016-03-11,1.68,16.3
2016-03-12,0.00,7.2
2016-03-13,0.00,8.0
2016-03-14,0.52,11.2
2016-03-15,16.07,4.7
2016-03-16,0.54,7.1
2016-03-17,3.57,10.4
2016-03-18,0.57,7.0
2016-03-19,0.37,2.4
2016-03-20,0.00,0.9
2016-03-21,4.33,1.5
2016-03-22,0.48,3.0
2016-03-23,0.00,4.6
2016-03-24,0.03,10.2
2016-03-25,0.00,6.1
2016-03-26,2.08,8.8
2016-03-27,0.00,4.7
2016-03-28,2.93,6.6
2016-03-29,23.09,5.6
2016-03-30,0.00,3.1
2016-03-31,0.00,6.8
2016-04-01,5.24,14.4
2016-04-02,2.48,12.6
2016-04-03,23.75,4.0
2016-04-04,3.78,-2.2
2016-04-05,8.15,-5.1
2016-04-06,0.00,-2.5
2016-04-07,0.00,3.0
2016-04-08,25.09,9.7
2016-04-09,0.00,3.3
2016-04-10,0.00,2.5
2016-04-11,0.00,3.6
2016-04-12,0.86,9.3
2016-04-13,9.85,6.2
2016-04-14,0.00,6.8
2016-04-15,0.00,7.4
2016-04-16,0.00,9.1
2016-04-17,0.00,8.9
2016-04-18,0.00,13.4
2016-04-19,0.00,15.3
2016-04-20,0.00,11.2
2016-04-21,0.00,8.7
2016-04-22,0.00,13.7
2016-04-23,11.77,19.1
2016-04-24,0.00,10.8
2016-04-25,0.00,10.5
2016-04-26,0.68,11.9
2016-04-27,4.23,3.7
2016-04-28,0.00,8.7
2016-04-29,0.00,9.8
2016-04-30,0.00,9.0
2016-05-01,0.00,10.7
2016-05-02,3.59,6.5
2016-05-03,15.19,8.6
2016-05-04,3.17,10.3
2016-05-05,3.50,9.1
2016-05-06,5.12,8.8
2016-05-07,6.74,11.1
2016-05-08,4.78,11.1
2016-05-09,4.02,10.9
2016-05-10,0.00,11.8
2016-05-11,0.00,13.3
2016-05-12,0.00,17.2
2016-05-13,0.00,17.1
2016-05-14,6.25,15.3
2016-05-15,0.81,15.4
2016-05-16,0.00,8.0
2016-05-17,0.00,10.3
2016-05-18,0.00,13.8
2016-05-19,0.00,14.6
2016-05-20,2.03,13.1
2016-05-21,0.00,15.2
2016-05-22,0.00,15.5
2016-05-23,0.00,14.7
2016-05-24,1.00,17.1
2016-05-25,0.00,13.4
2016-05-26,0.00,19.5
2016-05-27,0.00,22.4
2016-05-28,0.00,22.3
2016-05-29,0.00,24.2
2016-05-30,16.26,21.9
2016-05-31,2.00,19.8
2016-06-01,0.00,20.3
2016-06-02,0.00,19.2
2016-06-03,0.00,19.1
2016-06-04,0.98,16.8
2016-06-05,1.65,22.4
2016-06-06,29.80,17.7
2016-06-07,0.02,21.0
2016-06-08,7.72,19.9
2016-06-09,0.00,15.1
2016-06-10,0.00,14.9
2016-06-11,0.00,15.8
2016-06-12,7.76,16.6
2016-06-13,0.00,17.8
2016-06-14,0.00,15.1
2016-06-15,0.00,18.2
2016-06-16,0.00,20.9
2016-06-17,0.00,20.6
2016-06-18,0.00,17.4
2016-06-19,0.00,19.4
2016-06-20,0.00,19.0
2016-06-21,4.80,20.4
2016-06-22,0.00,20.0
2016-06-23,0.00,17.9
2016-06-24,0.00,19.5
2016-06-25,0.00,19.5
2016-06-26,0.00,20.3
2016-06-27,0.00,20.2
2016-06-28,1.95,21.8
2016-06-29,5.40,21.2
2016-06-30,0.32,22.1
2016-07-01,0.00,21.1
2016-07-02,25.01,20.2
2016-07-03,0.00,18.5
2016-07-04,0.00,18.4
2016-07-05,9.08,22.1
2016-07-06,0.00,23.1
2016-07-07,0.00,24.9
2016-07-08,15.04,24.7
2016-07-09,0.00,18.8
2016-07-10,0.49,16.3
2016-07-11,5.13,18.9
2016-07-12,0.00,19.2
2016-07-13,0.00,22.2
2016-07-14,4.05,23.7
2016-07-15,6.21,23.2
2016-07-16,0.00,24.9
2016-07-17,0.00,24.6
2016-07-18,0.00,24.2
2016-07-19,7.16,25.1
2016-07-20,0.00,19.4
2016-07-21,0.00,19.0
2016-07-22,0.00,23.3
2016-07-23,15.72,25.9
2016-07-24,0.00,24.3
2016-07-25,0.00,24.0
2016-07-26,0.00,25.1
2016-07-27,0.00,25.0
2016-07-28,0.00,23.8
2016-07-29,3.71,25.1
2016-07-30,1.68,23.6
2016-07-31,2.71,24.7
2016-08-01,9.36,21.6
2016-08-02,9.50,20.9
2016-08-03,4.87,18.4
2016-08-04,0.00,19.2
2016-08-05,0.00,20.4
2016-08-06,0.00,22.3
2016-08-07,2.42,23.0
2016-08-08,0.00,21.8
2016-08-09,0.00,21.4
2016-08-10,1.30,24.2
2016-08-11,14.27,24.1
2016-08-12,6.99,26.9
2016-08-13,2.21,27.4
2016-08-14,21.07,26.6
2016-08-15,0.00,26.4
2016-08-16,0.00,24.2
2016-08-17,4.75,24.0
2016-08-18,0.09,21.9
2016-08-19,0.00,23.8
2016-08-20,0.00,24.5
2016-08-21,0.00,23.2
2016-08-22,34.94,22.3
2016-08-23,0.00,18.4
2016-08-24,0.00,18.7
2016-08-25,0.00,22.0
2016-08-26,0.00,23.2
2016-08-27,0.00,24.5
2016-08-28,0.00,23.0
2016-08-29,0.00,23.3
2016-08-30,0.00,20.8
2016-08-31,0.00,21.0
2016-09-01,0.84,22.0
2016-09-02,5.56,19.1
2016-09-03,0.00,18.9
2016-09-04,0.00,16.9
2016-09-05,0.00,18.8
2016-09-06,0.00,19.9
2016-09-07,0.89,21.2
2016-09-08,0.57,23.1
2016-09-09,0.85,24.4
2016-09-10,0.00,26.2
2016-09-11,0.44,25.6
2016-09-12,0.87,17.3
2016-09-13,0.00,17.0
2016-09-14,0.00,19.0
2016-09-15,0.00,19.7
2016-09-16,0.00,14.6
2016-09-17,0.00,14.8
2016-09-18,0.00,16.3
2016-09-19,0.00,22.6
2016-09-20,11.90,20.4
2016-09-21,0.00,22.4
2016-09-22,0.00,19.0
2016-09-23,0.00,19.8
2016-09-24,7.38,19.1
2016-09-25,0.00,12.8
2016-09-26,0.00,10.4
2016-09-27,10.06,12.0
2016-09-28,0.48,17.6
2016-09-29,0.00,13.7
2016-09-30,0.00,13.6
2016-10-01,11.00,12.8
2016-10-02,0.30,12.1
2016-10-03,0.00,13.5
2016-10-04,0.00,17.0
2016-10-05,0.00,11.6
2016-10-06,0.00,12.4
2016-10-07,0.00,14.9
2016-10-08,0.00,14.7
2016-10-09,17.10,12.8
2016-10-10,17.23,9.4
2016-10-11,0.00,7.3
2016-10-12,0.00,9.7
2016-10-13,0.00,11.6
2016-10-14,0.52,12.0
2016-10-15,0.00,7.7
2016-10-16,0.00,9.2
2016-10-17,0.00,12.6
2016-10-18,0.00,18.8
2016-10-19,0.00,20.0
2016-10-20,0.00,17.1
2016-10-21,0.77,15.7
2016-10-22,29.19,17.9
2016-10-23,3.47,8.5
2016-10-24,1.78,9.5
2016-10-25,0.00,7.9
2016-10-26,0.00,4.2
2016-10-27,0.00,2.8
2016-10-28,27.16,3.9
2016-10-29,0.00,5.1
2016-10-30,0.00,8.5
2016-10-31,7.00,11.3
2016-11-01,0.00,4.3
2016-11-02,0.00,5.9
2016-11-03,0.00,14.5
2016-11-04,0.00,14.1
2016-11-05,0.00,6.2
2016-11-06,1.88,6.4
2016-11-07,0.60,4.2
2016-11-08,0.00,4.5
2016-11-09,0.00,8.9
2016-11-10,0.00,6.5
2016-11-11,0.00,6.6
2016-11-12,0.00,6.6
2016-11-13,0.00,3.5
2016-11-14,0.00,6.0
2016-11-15,0.00,7.9
2016-11-16,17.07,9.2
2016-11-17,0.00,7.7
2016-11-18,0.00,8.4
2016-11-19,0.00,10.1
2016-11-20,11.27,10.0
2016-11-21,1.14,2.2
2016-11-22,0.00,-0.4
2016-11-23,0.00,0.5
2016-11-24,0.00,1.4
2016-11-25,1.88,3.0
2016-11-26,1.17,5.2
2016-11-27,0.00,4.0
2016-11-28,0.54,2.0
2016-11-29,0.00,2.8
2016-11-30,26.68,9.4
2016-12-01,15.64,9.5
2016-12-02,0.00,6.5
2016-12-03,0.00,4.9
2016-12-04,0.00,3.0
2016-12-05,0.35,2.3
2016-12-06,1.71,0.7
2016-12-07,4.53,2.2
2016-12-08,0.29,3.1
2016-12-09,0.00,1.4
2016-12-10,0.00,-3.6
2016-12-11,0.00,-6.7
2016-12-12,9.42,-4.6
2016-12-13,11.80,1.9
2016-12-14,0.00,1.8
2016-12-15,0.00,-0.5
2016-12-16,0.00,-9.6
2016-12-17,4.42,-10.6
2016-12-18,12.63,1.4
2016-12-19,4.35,2.1
2016-12-20,0.00,-7.0
2016-12-21,0.00,-5.0
2016-12-22,0.00,-1.5
2016-12-23,0.00,2.5
2016-12-24,1.49,2.5
2016-12-25,13.45,2.7
2016-12-26,0.00,-0.4
2016-12-27,0.70,1.9
2016-12-28,0.00,6.4
2016-12-29,0.00,-1.0
2016-12-30,17.75,0.1
2016-12-31,0.00,-1.5
2017-01-01,5.39,-0.1
2017-01-02,0.00,0.6
2017-01-03,0.48,-0.1
2017-01-04,15.19,5.2
2017-01-05,0.00,2.0
2017-01-06,1.75,-2.6
2017-01-07,0.20,-6.2
2017-01-08,8.41,-9.8
2017-01-09,0.00,-11.4
2017-01-10,0.00,-11.3
2017-01-11,6.69,-2.1
2017-01-12,8.54,8.0
2017-01-13,0.81,9.7
2017-01-14,0.00,-1.9
2017-01-15,0.00,-4.8
2017-01-16,0.00,-3.8
2017-01-17,0.00,-1.0
2017-01-18,9.48,2.6
2017-01-19,0.38,1.9
2017-01-20,0.00,4.3
2017-01-21,0.00,2.6
2017-01-22,0.00,6.6
2017-01-23,0.00,5.5
2017-01-24,21.75,1.8
2017-01-25,7.06,2.3
2017-01-26,0.00,1.8
2017-01-27,0.40,5.6
2017-01-28,0.00,1.9
2017-01-29,0.00,0.9
2017-01-30,0.00,-0.4
2017-01-31,0.00,-5.5
2017-02-01,4.96,-5.6
2017-02-02,0.00,-1.1
2017-02-03,0.00,-1.9
2017-02-04,0.00,-5.1
2017-02-05,0.00,-4.5
2017-02-06,0.00,-0.4
2017-02-07,0.00,-0.1
2017-02-08,6.27,0.7
2017-02-09,0.70,4.6
2017-02-10,31.93,-7.1
2017-02-11,2.49,-7.5
2017-02-12,0.00,-2.6
2017-02-13,13.44,-3.0
2017-02-14,0.00,-4.6
2017-02-15,0.00,-2.5
2017-02-16,1.02,2.7
2017-02-17,0.00,-2.6
2017-02-18,0.00,-1.5
2017-02-19,0.00,4.1
2017-02-20,0.00,7.6
2017-02-21,0.00,0.6
2017-02-22,0.00,0.7
2017-02-23,0.00,8.2
2017-02-24,0.00,10.1
2017-02-25,0.00,14.4
2017-02-26,8.06,9.3
2017-02-27,0.00,-0.3
2017-02-28,0.00,4.3
2017-03-01,0.88,8.5
2017-03-02,2.32,11.6
2017-03-03,0.00,2.3
2017-03-04,0.00,-5.0
2017-03-05,0.00,-9.4
2017-03-06,0.00,-6.4
2017-03-07,0.32,-0.8
2017-03-08,5.09,6.0
2017-03-09,0.37,8.4
2017-03-10,0.47,4.4
2017-03-11,3.44,-6.0
2017-03-12,0.00,-10.0
2017-03-13,0.00,-8.8
2017-03-14,4.76,-4.8
2017-03-15,34.08,-4.5
2017-03-16,0.00,-5.3
2017-03-17,0.00,-3.9
2017-03-18,0.00,-2.0
2017-03-19,0.00,-0.3
2017-03-20,0.00,1.0
2017-03-21,0.00,3.7
2017-03-22,0.00,4.0
2017-03-23,0.00,-3.6
2017-03-24,0.00,-2.5
2017-03-25,0.26,2.0
2017-03-26,0.62,2.7
2017-03-27,0.79,1.4
2017-03-28,12.17,3.6
2017-03-29,11.21,4.0
2017-03-30,0.00,2.8
2017-03-31,1.34,6.7
2017-04-01,32.25,1.3
2017-04-02,6.47,1.6
2017-04-03,0.00,7.1
2017-04-04,13.45,9.4
2017-04-05,9.36,5.2
2017-04-06,0.38,7.3
2017-04-07,36.03,7.6
2017-04-08,0.44,5.5
2017-04-09,0.00,4.9
2017-04-10,0.00,10.6
2017-04-11,0.00,15.3
2017-04-12,0.00,18.5
2017-04-13,0.27,13.1
2017-04-14,0.00,8.6
2017-04-15,0.00,7.8
2017-04-16,0.98,10.1
2017-04-17,2.92,21.6
2017-04-18,0.00,12.6
2017-04-19,0.00,9.0
2017-04-20,3.87,7.0
2017-04-21,5.84,13.0
2017-04-22,2.63,7.2
2017-04-23,2.82,7.9
2017-04-24,0.00,10.8
2017-04-25,1.09,14.6
2017-04-26,13.47,10.5
2017-04-27,1.26,13.3
2017-04-28,0.25,16.6
2017-04-29,0.00,20.4
2017-04-30,0.00,18.5
2017-05-01,0.11,11.6
2017-05-02,3.70,13.8
2017-05-03,0.00,16.2
2017-05-04,0.00,9.7
2017-05-05,0.77,11.6
2017-05-06,36.13,12.0
2017-05-07,0.80,14.4
2017-05-08,0.01,9.6
2017-05-09,0.00,5.9
2017-05-10,0.00,6.8
2017-05-11,0.00,9.4
2017-05-12,0.00,10.4
2017-05-13,0.00,10.6
2017-05-14,31.21,8.5
2017-05-15,1.86,9.7
2017-05-16,1.89,11.1
2017-05-17,0.00,18.2
2017-05-18,0.00,23.7
2017-05-19,2.88,25.6
2017-05-20,0.00,20.9
2017-05-21,0.00,13.4
2017-05-22,0.88,14.7
2017-05-23,3.59,11.2
2017-05-24,0.00,15.3
2017-05-25,0.94,14.9
2017-05-26,30.24,10.2
2017-05-27,1.38,12.9
2017-05-28,0.00,16.1
2017-05-29,0.00,14.6
2017-05-30,1.05,11.0
2017-05-31,0.63,13.2
2017-06-01,9.18,16.2
2017-06-02,0.64,16.8
2017-06-03,1.08,14.2
2017-06-04,0.00,14.4
2017-06-05,7.98,16.3
2017-06-06,5.97,12.3
2017-06-07,14.64,9.4
2017-06-08,0.00,15.0
2017-06-09,0.00,16.8
2017-06-10,0.00,19.0
