Time,Q (m3/s),Q (ft3/s)
07/08/2015,0.36528672,12.9
07/09/2015,0.31997984,11.3
07/10/2015,0.61164288,21.6
07/11/2015,0.54085088,19.1
07/12/2015,0.39360352,13.9
07/13/2015,0.30015808,10.6
07/14/2015,0.242958144,8.58
07/15/2015,0.227667072,8.04
07/16/2015,0.199067104,7.03
07/17/2015,0.164520608,5.81
07/18/2015,0.151211712,5.34
07/19/2015,0.151211712,5.34
07/20/2015,0.143849344,5.08
07/21/2015,0.134221632,4.74
07/22/2015,0.127991936,4.52
07/23/2015,0.10760384,3.8
07/24/2015,0.10052464,3.55
07/25/2015,0.12884144,4.55
07/26/2015,0.103922656,3.67
07/27/2015,0.091180096,3.22
07/28/2015,0.085516736,3.02
07/29/2015,0.083251392,2.94
07/30/2015,0.078720704,2.78
07/31/2015,0.12317808,4.35
08/01/2015,0.10760384,3.8
08/02/2015,0.091180096,3.22
08/03/2015,0.075889024,2.68
08/04/2015,0.06937616,2.45
08/05/2015,0.062863296,2.22
08/06/2015,0.056067264,1.98
08/07/2015,0.053235584,1.88
08/08/2015,0.047289056,1.67
08/09/2015,0.044174208,1.56
08/10/2015,0.041908864,1.48
08/11/2015,0.158007744,5.58
08/12/2015,0.175847328,6.21
08/13/2015,0.101657312,3.59
08/14/2015,0.077588032,2.74
08/15/2015,0.06654448,2.35
08/16/2015,0.071924672,2.54
08/17/2015,0.055784096,1.97
08/18/2015,0.04813856,1.7
08/19/2015,0.044174208,1.56
08/20/2015,0.040493024,1.43
08/21/2015,0.05097024,1.8
08/22/2015,0.067677152,2.39
08/23/2015,0.055500928,1.96
08/24/2015,0.049837568,1.76
08/25/2015,0.04530688,1.6
08/26/2015,0.042758368,1.51
08/27/2015,0.037378176,1.32
08/28/2015,0.031997984,1.13
08/29/2015,0.0283168,1
08/30/2015,0.026334624,0.93
08/31/2015,0.030582144,1.08
09/01/2015,0.03114848,1.1
09/02/2015,0.0283168,1
09/03/2015,0.026617792,0.94
09/04/2015,0.026051456,0.92
09/05/2015,0.023219776,0.82
09/06/2015,0.02265344,0.8
09/07/2015,0.020671264,0.73
09/08/2015,0.020104928,0.71
09/09/2015,0.01840592,0.65
09/10/2015,0.028033632,0.99
09/11/2015,0.38510848,13.6
09/12/2015,0.173298816,6.12
09/13/2015,0.11185136,3.95
09/14/2015,0.114966208,4.06
09/15/2015,0.118364224,4.18
09/16/2015,0.073906848,2.61
09/17/2015,0.06512864,2.3
09/18/2015,0.056916768,2.01
09/19/2015,0.053235584,1.88
09/20/2015,0.050120736,1.77
09/21/2015,0.045873216,1.62
09/22/2015,0.040209856,1.42
09/23/2015,0.03681184,1.3
09/24/2015,0.036245504,1.28
09/25/2015,0.0424752,1.5
09/26/2015,0.042758368,1.51
09/27/2015,0.039360352,1.39
09/28/2015,0.037944512,1.34
09/29/2015,0.037944512,1.34
09/30/2015,1.07037504,37.8
10/01/2015,0.67393984,23.8
10/02/2015,0.35396,12.5
10/03/2015,0.265328416,9.37
10/04/2015,0.182360192,6.44
10/05/2015,0.128275104,4.53
10/06/2015,0.108736512,3.84
10/07/2015,0.092595936,3.27
10/08/2015,0.081835552,2.89
10/09/2015,0.073057344,2.58
10/10/2015,0.088065248,3.11
10/11/2015,0.079853376,2.82
10/12/2015,0.070225664,2.48
10/13/2015,0.06512864,2.3
10/14/2015,0.064845472,2.29
10/15/2015,0.060314784,2.13
10/16/2015,0.058898944,2.08
10/17/2015,0.059748448,2.11
10/18/2015,0.061730624,2.18
10/19/2015,0.06512864,2.3
10/20/2015,0.0637128,2.25
10/21/2015,0.065978144,2.33
10/22/2015,0.06654448,2.35
10/23/2015,0.068243488,2.41
10/24/2015,0.070225664,2.48
10/25/2015,0.075322688,2.66
10/26/2015,0.077021696,2.72
10/27/2015,0.076738528,2.71
10/28/2015,0.112984032,3.99
10/29/2015,0.79570208,28.1
10/30/2015,0.3822768,13.5
10/31/2015,0.2406928,8.5
11/01/2015,0.176696832,6.24
11/02/2015,0.146114688,5.16
11/03/2015,0.12884144,4.55
11/04/2015,0.113550368,4.01
11/05/2015,0.100241472,3.54
11/06/2015,0.10194048,3.6
11/07/2015,0.097976128,3.46
11/08/2015,0.09627712,3.4
11/09/2015,0.10760384,3.8
11/10/2015,0.105904832,3.74
11/11/2015,0.142716672,5.04
11/12/2015,0.17273248,6.1
11/13/2015,0.202748288,7.16
11/14/2015,0.176413664,6.23
11/15/2015,0.160273088,5.66
11/16/2015,0.13875232,4.9
11/17/2015,0.129124608,4.56
11/18/2015,0.124310752,4.39
11/19/2015,0.12317808,4.35
11/20/2015,1.09869184,38.8
11/21/2015,0.73340512,25.9
11/22/2015,0.45873216,16.2
11/23/2015,0.32847488,11.6
11/24/2015,0.247205664,8.73
11/25/2015,0.210676992,7.44
11/26/2015,0.194253248,6.86
11/27/2015,0.231631424,8.18
11/28/2015,0.222853216,7.87
11/29/2015,0.237011616,8.37
11/30/2015,0.194536416,6.87
12/01/2015,0.196518592,6.94
12/02/2015,0.29449472,10.4
12/03/2015,0.3681184,13
12/04/2015,0.30865312,10.9
12/05/2015,0.247488832,8.74
12/06/2015,0.21520768,7.6
12/07/2015,0.198783936,7.02
12/08/2015,0.18547504,6.55
12/09/2015,0.171882976,6.07
12/10/2015,0.171599808,6.06
12/11/2015,0.178679008,6.31
12/12/2015,0.173865152,6.14
12/13/2015,0.163387936,5.77
12/14/2015,0.164520608,5.81
12/15/2015,0.45590048,16.1
12/16/2015,0.35679168,12.6
12/17/2015,0.35679168,12.6
12/18/2015,0.73057344,25.8
12/19/2015,0.48704896,17.2
12/20/2015,0.37378176,13.2
12/21/2015,0.31714816,11.2
12/22/2015,0.34829664,12.3
12/23/2015,0.51819744,18.3
12/24/2015,1.58007744,55.8
12/25/2015,1.10718688,39.1
12/26/2015,0.81835552,28.9
12/27/2015,0.75322688,26.6
12/28/2015,0.6512864,23
12/29/2015,0.71075168,25.1
12/30/2015,0.78154368,27.6
12/31/2015,0.93162272,32.9
01/01/2016,0.90896928,32.1
01/02/2016,0.7928704,28
01/03/2016,0.69659328,24.6
01/04/2016,0.60597952,21.4
01/05/2016,0.52952416,18.7
01/06/2016,0.4813856,17
01/07/2016,0.44740544,15.8
01/08/2016,0.424752,15
01/09/2016,0.47572224,16.8
01/10/2016,1.31956288,46.6
01/11/2016,1.63104768,57.6
01/12/2016,1.132672,40
01/13/2016,0.93162272,32.9
01/14/2016,0.83251392,29.4
01/15/2016,0.8070288,28.5
01/16/2016,1.12984032,39.9
01/17/2016,1.15532544,40.8
01/18/2016,0.9627712,34
01/19/2016,0.849504,30
01/20/2016,0.7645536,27
01/21/2016,0.69942496,24.7
01/22/2016,0.64279136,22.7
01/23/2016,0.60314784,21.3
01/24/2016,0.58332608,20.6
01/25/2016,0.56916768,20.1
01/26/2016,0.6088112,21.5
01/27/2016,0.74756352,26.4
01/28/2016,0.77021696,27.2
01/29/2016,0.69942496,24.7
01/30/2016,0.63995968,22.6
01/31/2016,0.61164288,21.6
02/01/2016,0.63146464,22.3
02/02/2016,0.61447456,21.7
02/03/2016,0.76172192,26.9
02/04/2016,1.32805792,46.9
02/05/2016,1.15815712,40.9
02/06/2016,1.03073152,36.4
02/07/2016,0.94294944,33.3
02/08/2016,0.8778208,31
02/09/2016,0.85233568,30.1
02/10/2016,0.80136544,28.3
02/11/2016,0.73057344,25.8
02/12/2016,0.70225664,24.8
02/13/2016,0.6796032,24
02/14/2016,0.67393984,23.8
02/15/2016,0.6796032,24
02/16/2016,1.8689088,66
02/17/2016,2.70708608,95.6
02/18/2016,1.74714656,61.7
02/19/2016,1.5291072,54
02/20/2016,1.24027584,43.8
02/21/2016,1.2600976,44.5
02/22/2016,1.1609888,41
02/23/2016,1.05621664,37.3
02/24/2016,1.8547504,65.5
02/25/2016,4.3324704,153
02/26/2016,2.57966048,91.1
02/27/2016,1.80661184,63.8
02/28/2016,1.55176064,54.8
02/29/2016,1.43283008,50.6
03/01/2016,1.30823616,46.2
03/02/2016,1.65370112,58.4
03/03/2016,1.43849344,50.8
03/04/2016,1.25443424,44.3
03/05/2016,1.14399872,40.4
03/06/2016,1.0760384,38
03/07/2016,1.02789984,36.3
03/08/2016,0.99675136,35.2
03/09/2016,0.95710784,33.8
03/10/2016,0.92595936,32.7
03/11/2016,0.95427616,33.7
03/12/2016,0.89481088,31.6
03/13/2016,0.85516736,30.2
03/14/2016,0.90896928,32.1
03/15/2016,1.3167312,46.5
03/16/2016,1.16948384,41.3
03/17/2016,1.08453344,38.3
03/18/2016,0.97976128,34.6
03/19/2016,0.90047424,31.8
03/20/2016,0.84100896,29.7
03/21/2016,0.91180096,32.2
03/22/2016,0.94011776,33.2
03/23/2016,0.89481088,31.6
03/24/2016,0.85233568,30.1
03/25/2016,0.849504,30
03/26/2016,0.84100896,29.7
03/27/2016,0.778712,27.5
03/28/2016,1.48946368,52.6
03/29/2016,1.5857408,56
03/30/2016,1.18364224,41.8
03/31/2016,1.04205824,36.8
04/01/2016,1.08736512,38.4
04/02/2016,1.28558272,45.4
04/03/2016,1.8972256,67
04/04/2016,1.57441408,55.6
04/05/2016,1.36770144,48.3
04/06/2016,1.29124608,45.6
04/07/2016,2.5201952,89
04/08/2016,3.0582144,108
04/09/2016,1.97934432,69.9
04/10/2016,1.57441408,55.6
04/11/2016,1.39884992,49.4
04/12/2016,1.56308736,55.2
04/13/2016,1.51778048,53.6
04/14/2016,1.31389952,46.4
04/15/2016,1.1893056,42
04/16/2016,1.11001856,39.2
04/17/2016,1.05055328,37.1
04/18/2016,1.00241472,35.4
04/19/2016,0.96560288,34.1
04/20/2016,0.91746432,32.4
04/21/2016,0.88065248,31.1
04/22/2016,0.89764256,31.7
04/23/2016,1.36770144,48.3
04/24/2016,1.07320672,37.9
04/25/2016,0.9486128,33.5
04/26/2016,0.95144448,33.6
04/27/2016,0.94294944,33.3
04/28/2016,0.85233568,30.1
04/29/2016,0.7928704,28
04/30/2016,0.7503952,26.5
05/01/2016,0.73340512,25.9
05/02/2016,0.92312768,32.6
05/03/2016,1.21479072,42.9
05/04/2016,1.11568192,39.4
05/05/2016,1.01657312,35.9
05/06/2016,1.06188,37.5
05/07/2016,1.29974112,45.9
05/08/2016,1.22328576,43.2
05/09/2016,1.0477216,37
05/10/2016,0.91463264,32.3
05/11/2016,0.8353456,29.5
05/12/2016,0.76738528,27.1
05/13/2016,0.77021696,27.2
05/14/2016,0.89764256,31.7
05/15/2016,0.78720704,27.8
05/16/2016,0.68526656,24.2
05/17/2016,0.6229696,22
05/18/2016,0.59182112,20.9
05/19/2016,0.566336,20
05/20/2016,0.59748448,21.1
05/21/2016,0.53518752,18.9
05/22/2016,0.52669248,18.6
05/23/2016,0.52669248,18.6
05/24/2016,0.50403904,17.8
05/25/2016,0.45023712,15.9
05/26/2016,0.38794016,13.7
05/27/2016,0.35112832,12.4
05/28/2016,0.35112832,12.4
05/29/2016,0.35112832,12.4
05/30/2016,0.6088112,21.5
05/31/2016,0.48704896,17.2
06/01/2016,0.36528672,12.9
06/02/2016,0.33130656,11.7
06/03/2016,0.31431648,11.1
06/04/2016,0.2973264,10.5
06/05/2016,0.47289056,16.7
06/06/2016,1.203464,42.5
06/07/2016,0.73340512,25.9
06/08/2016,0.67110816,23.7
06/09/2016,0.43041536,15.2
06/10/2016,0.3256432,11.5
06/11/2016,0.31997984,11.3
06/12/2016,0.37095008,13.1
06/13/2016,0.280902656,9.92
06/14/2016,0.2406928,8.5
06/15/2016,0.22087104,7.8
06/16/2016,0.194253248,6.86
06/17/2016,0.17414832,6.15
06/18/2016,0.157441408,5.56
06/19/2016,0.142716672,5.04
06/20/2016,0.129124608,4.56
06/21/2016,0.124310752,4.39
06/22/2016,0.122611744,4.33
06/23/2016,0.105338496,3.72
06/24/2016,0.09344544,3.3
06/25/2016,0.084384064,2.98
06/26/2016,0.08211872,2.9
06/27/2016,0.075605856,2.67
06/28/2016,0.07928704,2.8
06/29/2016,0.11609888,4.1
06/30/2016,0.175847328,6.21
07/01/2016,0.214358176,7.57
07/02/2016,0.40209856,14.2
07/03/2016,0.20671264,7.3
07/04/2016,0.15432656,5.45
07/05/2016,0.187740384,6.63
07/06/2016,0.15857408,5.6
07/07/2016,0.13025728,4.6
07/08/2016,0.132239456,4.67
07/09/2016,0.11609888,4.1
07/10/2016,0.11043552,3.9
07/11/2016,0.119780064,4.23
07/12/2016,0.097976128,3.46
07/13/2016,0.081269216,2.87
07/14/2016,0.099958304,3.53
07/15/2016,0.128275104,4.53
07/16/2016,0.094578112,3.34
07/17/2016,0.077588032,2.74
07/18/2016,0.06796032,2.4
07/19/2016,0.05804944,2.05
07/20/2016,0.051536576,1.82
07/21/2016,0.045873216,1.62
07/22/2016,0.043607872,1.54
07/23/2016,0.0566336,2
07/24/2016,0.042192032,1.49
07/25/2016,0.034546496,1.22
07/26/2016,0.03256432,1.15
07/27/2016,0.027467296,0.97
07/28/2016,0.024635616,0.87
07/29/2016,0.027750464,0.98
07/30/2016,0.026617792,0.94
07/31/2016,0.027467296,0.97
08/01/2016,0.045023712,1.59
08/02/2016,0.09627712,3.4
08/03/2016,0.095427616,3.37
08/04/2016,0.062580128,2.21
08/05/2016,0.049837568,1.76
08/06/2016,0.042758368,1.51
08/07/2016,0.03964352,1.4
08/08/2016,0.033130656,1.17
08/09/2016,0.028033632,0.99
08/10/2016,0.035962336,1.27
08/11/2016,0.076738528,2.71
08/12/2016,0.062863296,2.22
08/13/2016,0.05946528,2.1
08/14/2016,0.34546496,12.2
08/15/2016,0.1628216,5.75
08/16/2016,0.114399872,4.04
08/17/2016,0.09769296,3.45
08/18/2016,0.065694976,2.32
08/19/2016,0.050120736,1.77
08/20/2016,0.04105936,1.45
08/21/2016,0.037095008,1.31
08/22/2016,0.152627552,5.39
08/23/2016,0.0920296,3.25
08/24/2016,0.065694976,2.32
08/25/2016,0.051536576,1.82
08/26/2016,0.042758368,1.51
08/27/2016,0.03681184,1.3
08/28/2016,0.04672272,1.65
08/29/2016,0.057199936,2.02
08/30/2016,0.040493024,1.43
08/31/2016,0.031997984,1.13
09/01/2016,0.034263328,1.21
09/02/2016,0.034829664,1.23
09/03/2016,0.033413824,1.18
09/04/2016,0.027750464,0.98
09/05/2016,0.02265344,0.8
09/06/2016,0.020104928,0.71
09/07/2016,0.018689088,0.66
09/08/2016,0.01840592,0.65
09/09/2016,0.017556416,0.62
09/10/2016,0.016706912,0.59
09/11/2016,0.017273248,0.61
09/12/2016,0.016706912,0.59
09/13/2016,0.01557424,0.55
09/14/2016,0.015007904,0.53
09/15/2016,0.013875232,0.49
09/16/2016,0.014441568,0.51
09/17/2016,0.013308896,0.47
09/18/2016,0.013025728,0.46
09/19/2016,0.021520768,0.76
09/20/2016,0.027184128,0.96
09/21/2016,0.030015808,1.06
09/22/2016,0.03398016,1.2
09/23/2016,0.035962336,1.27
09/24/2016,0.044174208,1.56
09/25/2016,0.037944512,1.34
09/26/2016,0.035396,1.25
09/27/2016,0.054085088,1.91
09/28/2016,0.071924672,2.54
09/29/2016,0.062863296,2.22
09/30/2016,0.05804944,2.05
10/01/2016,0.08353456,2.95
10/02/2016,0.094294944,3.33
10/03/2016,0.081835552,2.89
10/04/2016,0.079853376,2.82
10/05/2016,0.076172192,2.69
10/06/2016,0.07220784,2.55
10/07/2016,0.065978144,2.33
10/08/2016,0.071641504,2.53
10/09/2016,0.33696992,11.9
10/10/2016,0.274106624,9.68
10/11/2016,0.119213728,4.21
10/12/2016,0.0849504,3
10/13/2016,0.068809824,2.43
10/14/2016,0.060314784,2.13
10/15/2016,0.053518752,1.89
10/16/2016,0.051536576,1.82
10/17/2016,0.053235584,1.88
10/18/2016,0.052669248,1.86
10/19/2016,0.052952416,1.87
10/20/2016,0.052952416,1.87
10/21/2016,0.082685056,2.92
10/22/2016,0.190005728,6.71
10/23/2016,0.136770144,4.83
10/24/2016,0.1203464,4.25
10/25/2016,0.101374144,3.58
10/26/2016,0.086083072,3.04
10/27/2016,0.099675136,3.52
10/28/2016,0.4530688,16
10/29/2016,0.198500768,7.01
10/30/2016,0.12459392,4.4
10/31/2016,0.141867168,5.01
11/01/2016,0.109869184,3.88
11/02/2016,0.091746432,3.24
11/03/2016,0.081835552,2.89
11/04/2016,0.070792,2.5
11/05/2016,0.064845472,2.29
11/06/2016,0.06796032,2.4
11/07/2016,0.07503952,2.65
11/08/2016,0.066261312,2.34
11/09/2016,0.066261312,2.34
11/10/2016,0.061447456,2.17
11/11/2016,0.077021696,2.72
11/12/2016,0.114399872,4.04
11/13/2016,0.090330592,3.19
11/14/2016,0.127991936,4.52
11/15/2016,0.151778048,5.36
11/16/2016,0.228516576,8.07
11/17/2016,0.147813696,5.22
11/18/2016,0.12317808,4.35
11/19/2016,0.102789984,3.63
11/20/2016,0.171882976,6.07
11/21/2016,0.172449312,6.09
11/22/2016,0.128558272,4.54
11/23/2016,0.123461248,4.36
11/24/2016,0.1132672,4
11/25/2016,0.118647392,4.19
11/26/2016,0.120629568,4.26
11/27/2016,0.089764256,3.17
11/28/2016,0.101657312,3.59
11/29/2016,0.210110656,7.42
11/30/2016,0.4672272,16.5
12/01/2016,0.59182112,20.9
12/02/2016,0.36528672,12.9
12/03/2016,0.277787808,9.81
12/04/2016,0.23078192,8.15
12/05/2016,0.20671264,7.3
12/06/2016,0.196235424,6.93
12/07/2016,0.203031456,7.17
12/08/2016,0.193403744,6.83
12/09/2016,0.169334464,5.98
12/10/2016,0.138469152,4.89
12/11/2016,0.136486976,4.82
12/12/2016,0.23644528,8.35
12/13/2016,0.263629408,9.31
12/14/2016,0.201615616,7.12
12/15/2016,0.15998992,5.65
12/16/2016,0.122894912,4.34
12/17/2016,0.160556256,5.67
12/18/2016,0.45590048,16.1
12/19/2016,0.65694976,23.2
12/20/2016,0.53235584,18.8
12/21/2016,0.2619304,9.25
12/22/2016,0.222853216,7.87
12/23/2016,0.212376,7.5
12/24/2016,0.51253408,18.1
12/25/2016,0.60031616,21.2
12/26/2016,0.35679168,12.6
12/27/2016,0.43041536,15.2
12/28/2016,0.35396,12.5
12/29/2016,0.38794016,13.7
12/30/2016,0.63146464,22.3
12/31/2016,0.43041536,15.2
01/01/2017,0.4530688,16
01/02/2017,0.37944512,13.4
01/03/2017,0.50120736,17.7
01/04/2017,0.89764256,31.7
01/05/2017,0.56350432,19.9
01/06/2017,0.46156384,16.3
01/07/2017,0.41342528,14.6
01/08/2017,0.4105936,14.5
01/09/2017,0.41342528,14.6
01/10/2017,0.4389104,15.5
01/11/2017,1.1185136,39.5
01/12/2017,1.2600976,44.5
01/13/2017,0.8636624,30.5
01/14/2017,0.68526656,24.2
01/15/2017,0.59748448,21.1
01/16/2017,0.5804944,20.5
01/17/2017,0.5097024,18
01/18/2017,0.78437536,27.7
01/19/2017,0.67393984,23.8
01/20/2017,0.60314784,21.3
01/21/2017,0.56350432,19.9
01/22/2017,0.52952416,18.7
01/23/2017,0.51253408,18.1
01/24/2017,0.8636624,30.5
01/25/2017,1.12984032,39.9
01/26/2017,0.95144448,33.6
01/27/2017,0.91463264,32.3
01/28/2017,0.7928704,28
01/29/2017,0.71075168,25.1
01/30/2017,0.65411808,23.1
01/31/2017,0.637128,22.5
02/01/2017,0.60597952,21.4
02/02/2017,0.55784096,19.7
02/03/2017,0.52102912,18.4
02/04/2017,0.51253408,18.1
02/05/2017,0.4813856,17
02/06/2017,0.45590048,16.1
02/07/2017,0.47289056,16.7
02/08/2017,0.56067264,19.8
02/09/2017,0.58332608,20.6
02/10/2017,0.61447456,21.7
02/11/2017,0.70225664,24.8
02/12/2017,0.82401888,29.1
02/13/2017,0.849504,30
02/14/2017,0.75889024,26.8
02/15/2017,0.7503952,26.5
02/16/2017,0.7645536,27
02/17/2017,0.73906848,26.1
02/18/2017,0.70792,25
02/19/2017,0.91463264,32.3
02/20/2017,1.08736512,38.4
02/21/2017,0.98825632,34.9
02/22/2017,1.03073152,36.4
02/23/2017,1.29407776,45.7
02/24/2017,1.53477056,54.2
02/25/2017,1.56025568,55.1
02/26/2017,1.71033472,60.4
02/27/2017,1.34221632,47.4
02/28/2017,1.15532544,40.8
03/01/2017,1.13550368,40.1
03/02/2017,1.09302848,38.6
03/03/2017,0.95144448,33.6
03/04/2017,0.8778208,31
03/05/2017,0.85233568,30.1
03/06/2017,0.82685056,29.2
03/07/2017,0.80986048,28.6
03/08/2017,0.99391968,35.1
03/09/2017,0.92595936,32.7
03/10/2017,0.87498912,30.9
03/11/2017,0.8211872,29
03/12/2017,0.7928704,28
03/13/2017,0.85799904,30.3
03/14/2017,0.849504,30
03/15/2017,1.08453344,38.3
03/16/2017,0.99958304,35.3
03/17/2017,0.85233568,30.1
03/18/2017,0.849504,30
03/19/2017,0.83251392,29.4
03/20/2017,0.88914752,31.4
03/21/2017,1.06471168,37.6
03/22/2017,1.12984032,39.9
03/23/2017,0.97126624,34.3
03/24/2017,0.92312768,32.6
03/25/2017,0.98825632,34.9
03/26/2017,1.06754336,37.7
03/27/2017,1.75847328,62.1
03/28/2017,2.2087104,78
03/29/2017,3.0298976,107
03/30/2017,2.19172032,77.4
03/31/2017,2.1379184,75.5
04/01/2017,4.672272,165
04/02/2017,3.5962336,127
04/03/2017,2.54001696,89.7
04/04/2017,4.0493024,143
04/05/2017,3.6245504,128
04/06/2017,4.5590048,161
04/07/2017,6.3146464,223
04/08/2017,3.4829664,123
04/09/2017,2.50320512,88.4
04/10/2017,2.05579968,72.6
04/11/2017,1.77546336,62.7
04/12/2017,1.61122592,56.9
